### Source: "מכרז חיפה נתוני חלופות.xlsx" -> sheet column "חלופת בניין פטיו" (Patio-building alternative)
### Reported total ("סיכום חלופה 2") = 69,240 m2  -- verified by build_model.py
### level: B5..B1 = basements (מרתף), G = ground (קרקע), 1..21 = upper floors
level,area_sqm
B5,3200
B4,3200
B3,3200
B2,3200
B1,3200
G,2150
1,1950
2,1820
3,2040
4,2370
5,2400
6,2410
7,2430
8,2450
9,2460
10,2480
11,2500
12,2510
13,2530
14,2540
15,2560
16,2570
17,2590
18,2600
19,2610
20,2630
21,2640
